,imdb_name_id,name,date_of_birth,height,is_actor,race,gender,sexuality
4590,nm0473350,Reiko Kuba,,,TRUE,,,
4591,nm0948540,Soo Yong,1903-10-31,,TRUE,,,
4592,nm0658133,Betsy Palmer,1926-11-01,170.0,TRUE,White,Female,Straight
4593,nm3497822,Mary Webster,1935-03-13,,TRUE,,,
4594,nm0049975,Peter Baldwin,1931-01-11,180.0,TRUE,,,
4598,nm0677962,Howard Petrie,1906-11-22,191.0,TRUE,,,
4599,nm0000056,Paul Newman,1925-01-26,177.0,TRUE,White,Male,Straight
4610,nm0853299,Vaughn Taylor,1911-02-22,,TRUE,,,
4616,nm0000348,Tony Curtis,1925-06-03,175.0,TRUE,White,Male,Bisexual
4620,nm0233014,King Donovan,1918-01-25,173.0,TRUE,White,Male,Straight
4621,nm0842813,Carl 'Alfalfa' Switzer,1927-08-07,175.0,TRUE,,,
4622,nm0183358,Kevin Coughlin,1945-12-12,180.0,TRUE,,,
4625,nm0000277,Richard Attenborough,1923-08-29,170.0,TRUE,White,Male,Straight
4631,nm0882048,Robert Urquhart,1921-10-16,,TRUE,,,
4632,nm5630646,Sean Barrett,,,TRUE,,,
4634,nm0060988,Michael Bates,1920-12-04,178.0,TRUE,White,Male,Straight
4640,nm0793491,Michael Shillo,1920-08-23,,TRUE,,,
4642,nm0125952,Eddie Byrne,1911-01-31,,TRUE,White,Male,
4645,nm0041602,Maxine Audley,1923-04-29,165.0,TRUE,,,
4646,nm0002001,Maurice Chevalier,1888-09-12,180.0,TRUE,White,Male,Bisexual
4647,nm0320006,Hermione Gingold,1897-12-09,157.0,TRUE,White,Female,Straight
4648,nm0074405,Jacques Bergerac,1927-05-26,191.0,TRUE,,,
4649,nm0419978,Isabel Jeans,1891-09-16,,TRUE,White,Female,Straight
4650,nm0822535,Kim Stanley,1925-02-11,,TRUE,White,Female,Straight
4652,nm0384696,Steven Hill,1922-02-24,182.0,TRUE,White,Male,Straight
4654,nm0390615,Betty Lou Holland,1926-12-25,,TRUE,,,
4655,nm0001157,Patty Duke,1946-12-14,152.0,TRUE,White,Female,Straight
4657,nm0933361,Elizabeth Wilson,1921-04-04,178.0,TRUE,White,Female,
4663,nm0887696,Joyce Van Patten,1934-03-09,,TRUE,White,Female,Straight
4664,nm0459252,Werner Klemperer,1920-03-22,178.0,TRUE,White,Male,Straight
4666,nm0396881,Renee Houston,1902-07-24,,TRUE,,,
4667,nm0604914,Mike Morgan,"1929 in Oxfordshire, England, UK",,TRUE,,,
4668,nm0178509,Robert Coote,1909-02-04,178.0,TRUE,White,Male,
4669,nm0534274,Arthur Macrae,1908-03-17,,TRUE,,,
4670,nm0643000,Simon Oakland,1915-08-28,183.0,TRUE,White,Male,Straight
4673,nm0898782,Virginia Vincent,1918-05-03,,TRUE,White,Female,
4675,nm0490639,Wesley Lau,1921-06-18,185.0,TRUE,,,
4676,nm0177642,Philip Coolidge,1908-08-25,178.0,TRUE,,,
4680,nm0472632,Lou Krugman,1914-07-19,175.0,TRUE,,,
4681,nm0679920,James Philbrook,1924-10-22,,TRUE,,,
4683,nm0211460,Joe De Santis,1909-06-15,,TRUE,,,
4685,nm0549134,John Marley,1907-10-17,173.0,TRUE,White,Male,Straight
4691,nm0000028,Rita Hayworth,1918-10-17,168.0,TRUE,White,Female,Straight
4692,nm0626350,Cathleen Nesbitt,1888-11-24,,TRUE,,,
4694,nm0000558,Leslie Nielsen,1926-02-11,185.0,TRUE,White,Male,Straight
4696,nm0731490,Pernell Roberts,1928-05-18,183.0,TRUE,White,Male,Straight
4697,nm0327602,Pedro Gonzalez Gonzalez,1925-05-24,160.0,TRUE,Hispanic,Male,Straight
4698,nm0886638,Mamie Van Doren,1931-02-06,163.0,TRUE,White,Female,Straight
4699,nm0011244,Nick Adams,1931-07-10,170.0,TRUE,White,Male,Straight
4701,nm0001665,Lee Remick,1935-12-14,170.0,TRUE,White,Female,Straight
4702,nm0001262,Ben Gazzara,1930-08-28,178.0,TRUE,White,Male,Straight
4703,nm0640023,Arthur O'Connell,1908-03-29,178.0,TRUE,White,Male,Straight
4705,nm0335497,Kathryn Grant,1933-11-25,,TRUE,,,
4706,nm0001715,George C. Scott,1927-10-18,183.0,TRUE,White,Male,Straight
4711,nm0004730,Orson Bean,1928-07-22,183.0,TRUE,White,Male,Straight
4713,nm0358069,Murray Hamilton,1923-03-24,178.0,TRUE,White,Male,Straight
4718,nm0528373,Ken Lynch,1910-07-15,179.0,TRUE,,,
4719,nm0573830,Howard McNear,1905-01-27,,TRUE,White,Male,
4720,nm0361823,Haya Harareet,1931-09-20,,TRUE,,,
4721,nm0000963,Stephen Boyd,1931-07-04,183.0,TRUE,White,Male,Straight
4722,nm0341518,Hugh Griffith,1912-05-30,171.0,TRUE,White,Male,
4727,nm0861930,Frank Thring,1926-05-11,188.0,TRUE,,,
4728,nm0519281,Terence Longdon,1922-05-14,,TRUE,,,
4729,nm0718835,George Relph,1888-01-27,,TRUE,,,
4730,nm0001693,Eva Marie Saint,1924-07-04,163.0,TRUE,White,Female,Straight
4731,nm0001445,Martin Landau,1928-06-20,185.0,TRUE,White,Male,Straight
4734,nm0929965,Adam Williams,1922-11-26,180.0,TRUE,,,
4735,nm0871876,Les Tremayne,1913-04-16,179.0,TRUE,White,Male,Straight
4737,nm0574686,Patrick McVey,1910-03-17,,TRUE,,,
4738,nm0002075,Peter Finch,1916-09-28,175.0,TRUE,White,Male,Straight
4741,nm0262725,Edith Evans,1888-02-08,170.0,TRUE,White,Female,Straight
4742,nm0001919,Peggy Ashcroft,1907-12-22,164.0,TRUE,White,Female,Straight
4745,nm0833152,Beatrice Straight,1914-08-02,170.0,TRUE,White,Female,Straight
4746,nm0190194,Rosalie Crutchley,1920-01-04,170.0,TRUE,,,
4750,nm0925418,Ruth White,1914-04-24,,TRUE,,,
4753,nm0098382,Patricia Bosworth,1933-04-24,,TRUE,,,
4754,nm0223157,Colleen Dewhurst,1924-06-03,173.0,TRUE,White,Female,Straight
4756,nm0615278,Stephen Murray,1912-09-06,183.0,TRUE,,,
4757,nm0639613,Joan O'Brien,1936-02-14,163.0,TRUE,White,Female,Straight
4758,nm0581277,Dina Merrill,1923-12-29,173.0,TRUE,White,Female,Straight
4761,nm0262775,Gene Evans,1922-07-11,187.0,TRUE,White,Male,
4762,nm0765102,Dick Sargent,1930-04-19,188.0,TRUE,White,Male,Gay
4765,nm0339615,Virginia Gregg,1916-03-06,175.0,TRUE,White,Female,Straight
4766,nm0533891,Gavin MacLeod,1931-02-28,180.0,TRUE,White,Male,Straight
4768,nm0722599,Madlyn Rhue,1935-10-03,163.0,TRUE,White,Female,Straight
4769,nm0709704,Tony Randall,1920-02-26,173.0,TRUE,White,Male,Straight
4771,nm0574961,Julia Meade,1925-12-17,,TRUE,,,
4772,nm0565416,Mary McCarty,1923-09-27,,TRUE,,,
4773,nm0021134,Valerie Allen,1936-02-10,,TRUE,,,
4774,nm0797531,Simone Signoret,1921-03-25,168.0,TRUE,White,Female,Straight
4776,nm0780765,Heather Sears,1935-09-28,160.0,TRUE,,,
4778,nm0938372,Donald Wolfit,1902-04-20,,TRUE,White,Male,Straight
4781,nm0396819,Donald Houston,1923-11-06,,TRUE,,,
4782,nm0193862,Allan Cuthbertson,1920-04-07,189.0,TRUE,,,
4785,nm0922462,John Westbrook,1922-11-01,194.0,TRUE,,,
4786,nm0664390,Richard Pasco,1926-07-18,,TRUE,,,
4787,nm0452237,Delena Kidd,1935-02-11,160.0,TRUE,,,
4788,nm0376915,Ian Hendry,1931-01-13,179.0,TRUE,White,Male,Straight
4789,nm0647557,April Olrich,1933-07-17,163.0,TRUE,,,
4790,nm0000493,Jack Lemmon,1925-02-08,175.0,TRUE,White,Male,Straight
4797,nm0706368,George Raft,1901-09-26,170.0,TRUE,White,Male,Straight
4798,nm0675490,Nehemiah Persoff,1919-08-14,170.0,TRUE,,,
4800,nm0185954,Michael Craig,1928-01-27,,TRUE,White,Male,Straight
4802,nm0121588,Alfred Burke,1918-02-28,185.0,TRUE,,,
4803,nm0395126,Penelope Horner,1939-06-20,166.0,TRUE,,,
4804,nm1721806,Michael Wynne,1972-08-03,,TRUE,,,
4805,nm0083424,Norman Bird,1924-10-30,,TRUE,,,
4806,nm0799245,Gerald Sim,1925-06-04,,TRUE,,,
4807,nm0066028,Brian Bedford,1935-02-16,178.0,TRUE,White,Male,Gay
4809,nm0001657,Oliver Reed,1938-02-13,180.0,TRUE,White,Male,Straight
4815,nm0001827,Ray Walston,1914-12-02,173.0,TRUE,White,Male,Straight
4817,nm0507079,David Lewis,1903-12-14,,TRUE,White,Male,Straight
4823,nm0390516,Hope Holiday,1930-11-30,160.0,TRUE,,,
4824,nm0417055,Joyce Jameson,1932-09-26,,TRUE,,,
4825,nm0924667,David White,,,TRUE,White,Male,Straight
4830,nm0010944,Edie Adams,1927-04-16,168.0,TRUE,White,Female,Straight
4833,nm0770730,Maria Schell,1926-01-15,,TRUE,White,Female,Straight
4835,nm0649055,David Opatoshu,1918-01-30,,TRUE,White,Male,Straight
4836,nm0201782,Lili Darvas,1902-04-10,,TRUE,,,
4837,nm0926897,Mary Wickes,1910-06-13,178.0,TRUE,White,Female,
4839,nm0429250,Shirley Jones,1934-03-31,165.0,TRUE,White,Female,Straight
4840,nm0656303,Patti Page,1927-11-08,163.0,TRUE,White,Female,Straight
4841,nm0028647,Edward Andrews,1914-10-09,188.0,TRUE,White,Male,
4842,nm0638574,Louis Nye,1913-05-01,,TRUE,White,Male,Straight
4843,nm0790993,Marianne Stewart,1922-01-16,,TRUE,,,
4844,nm0948685,Dick York,1928-09-04,185.0,TRUE,White,Male,Straight
4845,nm0026634,Donna Anderson,1939-09-05,,TRUE,,,
4846,nm0717256,Elliott Reid,1920-01-16,188.0,TRUE,White,Male,
4847,nm0996250,Jimmy Boyd,,,TRUE,White,Male,Straight
4848,nm0001205,Norman Fell,1924-03-24,175.0,TRUE,White,Male,Straight
4851,nm0881829,Mary Ure,1933-02-18,165.0,TRUE,White,Female,Straight
4852,nm0524308,William Lucas,1925-04-14,178.0,TRUE,,,
4854,nm0680317,Conrad Phillips,1925-04-13,183.0,TRUE,,,
4855,nm0000587,Donald Pleasence,1919-10-05,168.0,TRUE,White,Male,Straight
4857,nm0424318,Glynis Johns,1923-10-05,163.0,TRUE,White,Female,Straight
4859,nm0026295,Michael Anderson Jr.,1943-08-06,173.0,TRUE,,,
4860,nm0576851,John Meillon,1934-05-01,178.0,TRUE,,,
4862,nm0292226,Ronald Fraser,1930-04-11,173.0,TRUE,,,
4863,nm0072804,Dick Bentley,1907-05-14,,TRUE,,,
4864,nm0696866,Dennis Price,1915-06-23,188.0,TRUE,White,Male,Bisexual
4865,nm0292159,John Fraser,1931-03-18,,TRUE,,,
4867,nm0948772,Susannah York,1939-01-09,169.0,TRUE,White,Female,Straight
4872,nm0413561,Gordon Jackson,1923-12-19,173.0,TRUE,White,Male,Straight
4875,nm0534280,Duncan Macrae,1905-08-20,185.0,TRUE,White,Male,
4876,nm0926402,Paul Whitsun-Jones,1923-04-05,,TRUE,,,
4877,nm0568493,Peter McEnery,1940-02-21,180.0,TRUE,,,
4878,nm0269091,Keith Faulkner,1936-07-25,,TRUE,,,
4879,nm0000577,George Peppard,1928-10-01,183.0,TRUE,White,Male,Straight
4881,nm0623658,Patricia Neal,1926-01-20,174.0,TRUE,White,Female,Straight
4883,nm0897808,José Luis de Vilallonga,1920-01-29,198.0,TRUE,,,
4885,nm0569410,John McGiver,1913-11-05,180.0,TRUE,White,Male,Straight
4887,nm0694500,Beverly Powers,1939-08-07,,TRUE,,,
4888,nm0201626,James Darren,1936-06-08,179.0,TRUE,White,Male,Straight
4889,nm0660327,Irene Papas,1926-09-03,178.0,TRUE,White,Female,Straight
4892,nm0768748,Gia Scala,1934-03-03,173.0,TRUE,White,Female,Straight
4893,nm0001321,Richard Harris,1930-10-01,183.0,TRUE,White,Male,Straight
4905,nm0285302,Bryan Forbes,1926-07-22,,TRUE,White,Male,Straight
4906,nm0586393,George Mikell,1929-04-04,,TRUE,,,
4907,nm0001276,Jackie Gleason,1916-02-26,177.0,TRUE,White,Male,Straight
4908,nm0001453,Piper Laurie,1932-01-22,164.0,TRUE,White,Female,Straight
4910,nm0176073,Michael Constantine,1927-05-22,187.0,TRUE,White,Male,Straight
4912,nm0317369,Stefan Gierasch,1926-02-05,,TRUE,,,
4915,nm0483766,Jake LaMotta,1922-07-10,173.0,TRUE,White,Male,Straight
4916,nm0741226,Alexander Rose,,,TRUE,,,
4917,nm0306696,Vincent Gardenia,1920-01-07,174.0,TRUE,White,Male,Straight
4920,nm0001703,Maximilian Schell,1930-12-08,180.0,TRUE,White,Male,Straight
4922,nm0000638,William Shatner,1931-03-22,177.0,TRUE,White,Male,Straight
4923,nm0533247,Kenneth MacKenna,1899-08-19,,TRUE,,,
4924,nm0283499,Joe Flynn,1924-11-08,168.0,TRUE,White,Male,
4926,nm0915114,Charles Watts,1912-10-30,,TRUE,,,
4927,nm0709094,Ward Ramsey,1924-09-24,,TRUE,,,
4928,nm0235031,Donna Douglas,1932-09-26,,TRUE,White,Female,Straight
4929,nm0385757,Pat Hingle,1924-07-19,178.0,TRUE,White,Male,Straight
4931,nm0160287,Audrey Christie,1912-06-27,,TRUE,White,Female,Straight
4932,nm0517056,Barbara Loden,1932-07-08,,TRUE,,,
4933,nm0483876,Zohra Lampert,1937-05-13,173.0,TRUE,White,Female,Straight
4934,nm0000886,Warren Beatty,1937-03-30,185.0,TRUE,White,Male,Straight
4942,nm0635826,Jan Norris,1940-09-02,,TRUE,,,
4943,nm0516972,Gary Lockwood,1937-02-21,184.0,TRUE,White,Male,Straight
4945,nm0006800,Sandy Dennis,1937-04-27,157.0,TRUE,White,Female,Bisexual
4947,nm0000937,Richard Beymer,1939-02-20,188.0,TRUE,White,Male,
4949,nm0001549,Rita Moreno,1931-12-11,159.0,TRUE,Hispanic,Female,Straight
4950,nm0001995,George Chakiris,1934-09-16,180.0,TRUE,White,Male,Gay
4951,nm0200597,David Winters,1939-04-05,,TRUE,,,
4952,nm0852674,Joyce Taylor,1932-09-14,170.0,TRUE,,,
4954,nm0198941,Mark Damon,1933-04-22,181.0,TRUE,,,
4955,nm0026039,Merry Anders,1934-05-22,163.0,TRUE,White,Female,Straight
4956,nm0001158,Keir Dullea,1936-05-30,185.0,TRUE,White,Male,Straight
4959,nm0546755,Janet Margolin,1943-07-25,,TRUE,White,Female,Straight
4961,nm0666332,Neva Patterson,1920-02-10,173.0,TRUE,White,Female,Straight
4962,nm0416378,Clifton James,1920-05-29,180.0,TRUE,White,Male,Straight
4970,nm0844969,Jaime Sánchez,1938-12-19,,TRUE,,,
4972,nm0331186,Karen Lynn Gorney,1945-01-28,160.0,TRUE,,,
4973,nm0463435,Susan Kohner,1936-11-11,,TRUE,White,Female,Straight
4974,nm0496614,Fernand Ledoux,1897-01-24,,TRUE,White,Male,
4975,nm0564724,David McCallum,1933-09-19,170.0,TRUE,White,Male,Straight
4976,nm0467311,David Kossoff,1919-11-24,,TRUE,White,Male,Straight
4977,nm0299822,Joseph Fürst,1916-02-13,,TRUE,,,
4978,nm0755168,Leonard Sachs,1909-09-26,,TRUE,,,
4979,nm0427700,Carolyn Jones,1930-04-28,165.0,TRUE,White,Female,Straight
4980,nm0001666,Debbie Reynolds,1932-04-01,157.0,TRUE,White,Female,Straight
4982,nm0063353,Brigid Bazlen,1944-06-09,160.0,TRUE,,,
4983,nm0000564,Peter O'Toole,1932-08-02,188.0,TRUE,White,Male,Straight
4990,nm0001725,Omar Sharif,1932-04-10,180.0,TRUE,Middle,Male,Straight
4993,nm0424102,I.S. Johar,1920-02-16,,TRUE,,,
4994,nm0711633,Gamil Ratib,1926-11-28,,TRUE,,,
4995,nm0596109,Zia Mohyeddin,1931-06-20,,TRUE,,,
4997,nm0528987,Sue Lyon,1946-07-10,160.0,TRUE,White,Female,Straight
4998,nm0168324,Gary Cockrell,1932-12-04,,TRUE,,,
4999,nm0561755,Lois Maxwell,1927-02-14,173.0,TRUE,White,Female,Straight
5000,nm0511695,Cec Linder,1921-03-10,,TRUE,,,
5002,nm0235250,Shirley Douglas,1934-04-02,159.0,TRUE,White,Female,Straight
5003,nm0365666,John Harrison,,,TRUE,White,Male,
5005,nm0001912,Paul Anka,1941-07-30,168.0,TRUE,White,Male,Straight
5006,nm0001916,Arletty,1898-05-15,,TRUE,,,
5007,nm0056761,Jean-Louis Barrault,1910-09-08,,TRUE,,,
5008,nm0088083,Hans Christian Blech,1915-02-20,,TRUE,,,
5009,nm0100186,Bourvil,1917-07-27,172.0,TRUE,,,
5010,nm0127351,Wolfgang Büttner,1912-06-01,,TRUE,,,
5011,nm0142120,Pauline Carton,1884-07-04,,TRUE,,,
5012,nm0000125,Sean Connery,1930-08-25,188.0,TRUE,White,Male,Straight
5015,nm0200645,Ray Danton,1931-09-19,183.0,TRUE,White,Male,Straight
5016,nm0218464,Irina Demick,1936-10-16,167.0,TRUE,,,
5017,nm0000843,Anne Bancroft,1931-09-17,168.0,TRUE,White,Female,Straight
5023,nm0842421,Inga Swenson,1932-12-29,175.0,TRUE,White,Female,Straight
5024,nm0697785,Andrew Prine,1936-02-14,188.0,TRUE,White,Male,Straight
5025,nm0004769,Pat Boone,1934-06-01,177.0,TRUE,White,Male,Straight
5026,nm0201239,Bobby Darin,1936-05-14,173.0,TRUE,White,Male,Straight
5027,nm0863016,Pamela Tiffin,1942-10-13,170.0,TRUE,White,Female,Straight
5028,nm0000268,Ann-Margret,1941-04-28,161.0,TRUE,,,
5029,nm0185281,Wally Cox,1924-12-06,168.0,TRUE,White,Male,Bisexual
5030,nm0104753,David Brandon,,,TRUE,,,
5031,nm0288311,Robert Foulk,1908-05-05,196.0,TRUE,,,
5032,nm0575031,Audrey Meadows,1922-02-08,168.0,TRUE,White,Female,Straight
5033,nm1791101,Alan Hewitt,,,TRUE,,,
5034,nm0040014,John Astin,1930-03-30,180.0,TRUE,White,Male,Straight
5035,nm0593523,Laurie Mitchell,1928-07-14,,TRUE,,,
5036,nm0515186,Jack Livesey,1901-06-11,,TRUE,,,
5038,nm0276043,Shirley Anne Field,1938-06-27,163.0,TRUE,White,Female,Straight
5041,nm0511798,Viveca Lindfors,1920-12-29,167.0,TRUE,,,
5042,nm0898376,James Villiers,1933-09-29,193.0,TRUE,,,
5043,nm0447461,Tom Kempinski,1938-03-24,,TRUE,,,
5044,nm0178560,Kenneth Cope,1931-04-14,177.0,TRUE,,,
5045,nm0561718,James Maxwell,1929-03-23,178.0,TRUE,,,
5046,nm0576345,John Megna,1952-11-09,,TRUE,White,Male,Gay
5047,nm0653942,Frank Overton,1918-03-12,,TRUE,,,
5048,nm0614677,Rosemary Murphy,1925-01-13,175.0,TRUE,White,Female,
5051,nm0676349,Brock Peters,1927-07-02,183.0,TRUE,Black,Male,Straight
5052,nm0262745,Estelle Evans,1906-10-01,,TRUE,,,
5053,nm0668110,Collin Wilcox Paxton,1935-02-04,,TRUE,White,Female,Straight
5054,nm0026841,James Anderson,1921-07-13,,TRUE,White,Male,
5056,nm0315933,Alice Ghostley,1923-08-14,,TRUE,White,Female,Straight
5058,nm0000380,Robert Duvall,1931-01-05,174.0,TRUE,White,Male,Straight
5066,nm0934750,William Windom,1923-09-28,179.0,TRUE,White,Male,Straight
5068,nm0219825,Crahan Denton,1914-03-20,187.0,TRUE,,,
5071,nm0316071,Stathis Giallelis,1941-01-21,,TRUE,,,
5072,nm0938231,Frank Wolff,1928-05-11,185.0,TRUE,,,
5073,nm0204687,Harry Davis,1911-03-12,,TRUE,,,
5075,nm0438833,Elena Karam,1909-02-27,,TRUE,,,
5077,nm0372545,Estelle Hemsley,1887-05-05,,TRUE,,,
5078,nm0747479,Gregory Rozakis,1943-01-30,179.0,TRUE,,,
5079,nm0290986,Joanna Frank,1941-03-07,,TRUE,,,
5080,nm0001141,Angie Dickinson,1931-09-30,165.0,TRUE,White,Female,Straight
5083,nm0339834,James Gregory,1911-12-23,183.0,TRUE,White,Male,Straight
5085,nm0504064,Bethel Leslie,1929-08-03,,TRUE,White,Female,Straight
5086,nm0832415,Larry Storch,1923-01-08,173.0,TRUE,White,Male,Straight
5087,nm0139824,Paul Carr,1934-02-01,179.0,TRUE,White,Male,
5089,nm0780005,Vito Scotti,1918-01-26,172.0,TRUE,White,Male,Straight
5090,nm0170552,George Cole,1925-04-22,175.0,TRUE,White,Male,Straight
5091,nm0200488,Cesare Danova,1926-03-01,189.0,TRUE,,,
5092,nm0354078,Kenneth Haigh,1931-03-25,183.0,TRUE,,,
5093,nm0445139,Andrew Keir,1926-04-03,183.0,TRUE,White,Male,Straight
5094,nm2729889,Robert Stephens,,,TRUE,White,Male,Straight
5098,nm0000768,Francesca Annis,1945-05-14,163.0,TRUE,White,Female,Straight
5100,nm0039510,Grégoire Aslan,1908-03-28,173.0,TRUE,,,
5101,nm0072578,Martin Benson,1918-08-10,178.0,TRUE,,,
5102,nm0000469,James Earl Jones,1931-01-17,187.0,TRUE,Black,Male,Straight
5105,nm1064352,Tracy Reed,1941-09-21,170.0,TRUE,,,
5106,nm0155043,Jack Creley,1926-03-06,,TRUE,White,Male,
5107,nm1162577,Frank Berry,,,TRUE,,,
5108,nm2253512,Glenn Beck,1964-02-10,188.0,TRUE,White,Male,Straight
5110,nm0727300,Shane Rimmer,1929-05-28,170.0,TRUE,,,
5112,nm0039068,John Ashley,1934-12-25,,TRUE,White,Male,Straight
5113,nm0043088,Val Avery,1924-07-14,,TRUE,White,Male,Straight
5117,nm0021532,Sheldon Allman,1924-06-08,,TRUE,,,
5118,nm0803785,Lilia Skala,1896-11-28,,TRUE,White,Female,Straight
5120,nm0542858,Lisa Mann,,,TRUE,,,
5121,nm0187886,Isa Crino,1930-09-15,,TRUE,,,
5122,nm0000537,Steve McQueen,1930-03-24,177.0,TRUE,White,Male,Straight
5128,nm0076453,Herschel Bernardi,1923-10-30,180.0,TRUE,White,Male,
5130,nm0159629,Marilyn Chris,1938-05-19,,TRUE,,,
5131,nm0222627,George Devine,1910-11-20,,TRUE,,,
5132,nm0447499,Rachel Kempson,1910-05-28,,TRUE,White,Female,Straight
5134,nm0045967,Angela Baddeley,1904-07-04,160.0,TRUE,White,Female,Straight
5135,nm0001215,Albert Finney,1936-05-09,175.0,TRUE,White,Male,Straight
5140,nm0162283,Diane Cilento,1932-04-02,170.0,TRUE,White,Female,Straight
5141,nm0595602,John Moffatt,1922-09-24,,TRUE,,,
5142,nm0001831,David Warner,1941-07-29,188.0,TRUE,White,Male,Straight
5144,nm0148974,Gino Cervi,1901-05-03,177.0,TRUE,,,
5145,nm0832375,Paolo Stoppa,1906-06-16,168.0,TRUE,,,
5146,nm0922935,David Weston,1938-07-28,,TRUE,,,
5147,nm0680795,Siân Phillips,1933-05-14,171.0,TRUE,,,
5149,nm0722405,Christopher Rhodes,1914-04-30,,TRUE,,,
5150,nm0328689,Jack Goode,1908-06-02,,TRUE,,,
5151,nm0236848,Alfred Drake,1914-10-07,,TRUE,White,Male,Straight
5152,nm0714835,William Redfield,1927-01-26,177.0,TRUE,,,
5153,nm0741394,George Rose,1920-02-19,,TRUE,,,
5154,nm0191633,John Cullum,1930-03-02,,TRUE,White,Male,Straight
5155,nm1397313,The Beatles,,,TRUE,,,
5156,nm0006168,John Lennon,1940-10-09,179.0,TRUE,White,Male,Matter
5157,nm0005200,Paul McCartney,1942-06-18,181.0,TRUE,White,Male,Straight
5158,nm0365600,George Harrison,1943-02-25,178.0,TRUE,White,Male,Straight
5159,nm0823592,Ringo Starr,1940-07-07,170.0,TRUE,White,Male,Straight
5160,nm0104183,Wilfrid Brambell,1912-03-22,157.0,TRUE,,,
5161,nm0744395,Norman Rossington,1928-12-24,171.0,TRUE,White,Male,Straight
5162,nm0432729,John Junkin,1930-01-29,,TRUE,,,
5163,nm0818920,Victor Spinetti,1929-09-02,182.0,TRUE,White,Male,Gay
5164,nm0703032,Anna Quayle,1932-10-06,178.0,TRUE,,,
5165,nm0349899,Deryck Guyler,1914-04-29,178.0,TRUE,,,
5166,nm0894709,Richard Vernon,"1910 in London, England, UK",,TRUE,White,Male,Straight
5168,nm0001023,John Cassavetes,1929-12-09,175.0,TRUE,White,Male,Straight
5171,nm0347656,Clu Gulager,1928-11-16,180.0,TRUE,White,Male,Straight
5173,nm0680732,Robert Phillips,1925-04-10,175.0,TRUE,,,
5174,nm0000267,Julie Andrews,1935-10-01,173.0,TRUE,White,Female,Straight
5176,nm0001813,Dick Van Dyke,1925-12-13,184.0,TRUE,White,Male,Straight
5178,nm0866835,David Tomlinson,1917-05-07,186.0,TRUE,White,Male,Straight
5179,nm0234538,Karen Dotrice,1955-11-09,168.0,TRUE,,,
5180,nm0304955,Matthew Garber,1956-03-25,,TRUE,,,
5181,nm0871546,Arthur Treacher,1894-07-23,192.0,TRUE,White,Male,Straight
5182,nm0943956,Ed Wynn,1886-11-09,183.0,TRUE,White,Male,Straight
5183,nm0539395,Arthur Malet,1927-09-24,,TRUE,White,Male,Straight
5187,nm0405035,Wilfrid Hyde-White,1903-05-12,178.0,TRUE,,,
5188,nm0913332,Mona Washbourne,1903-11-27,163.0,TRUE,,,
5190,nm0057363,Barbara Barrie,1931-05-23,166.0,TRUE,White,Female,Straight
5193,nm0357745,Bernie Hamilton,1928-06-12,180.0,TRUE,Black,Male,Straight
5194,nm0612321,Richard Mulligan,1932-11-13,185.0,TRUE,White,Male,Straight
5195,nm0429149,Robert Earl Jones,1910-02-03,188.0,TRUE,,,
5197,nm0068871,Anthony Spinelli,1927-02-21,,TRUE,,,
5198,nm0437895,Bob Kanter,1929-08-06,,TRUE,,,
5199,nm0746743,Steve Rowland,1932-09-03,,TRUE,,,
5200,nm6354286,Eddy King,,,TRUE,,,
5201,nm0641530,Jeffrey O'Kelly,,,TRUE,,,
5202,nm0172420,Joe Collins,,,TRUE,,,
5203,nm0000052,Marcello Mastroianni,1924-09-28,177.0,TRUE,White,Male,Straight
5204,nm0514059,Virna Lisi,1936-11-08,168.0,TRUE,White,Female,Straight
5205,nm0577867,Marisa Mell,1939-02-24,173.0,TRUE,,,
5206,nm0758066,Enrico Maria Salerno,1926-09-18,,TRUE,,,
5207,nm0649752,Liana Orfei,1937-01-06,174.0,TRUE,,,
5208,nm0016646,Guido Alberti,1909-04-20,,TRUE,,,
5209,nm0518627,Beba Loncar,1943-04-28,,TRUE,,,
5210,nm0649755,Moira Orfei,1931-12-21,180.0,TRUE,,,
5211,nm0497810,Margaret Lee,1943-08-04,168.0,TRUE,,,
5213,nm0223326,Rosemary Dexter,1944-07-19,,TRUE,,,
5214,nm0595297,Jolanda Modio,1946,,TRUE,,,
5215,nm0307995,Ivo Garrani,1924-02-06,,TRUE,,,
5216,nm0271229,Mario Feliciani,1918-03-12,,TRUE,,,
5217,nm0000404,Jane Fonda,1937-12-21,173.0,TRUE,White,Female,Straight
5225,nm0130286,Michael Callan,1935-11-22,,TRUE,White,Male,Straight
5226,nm0382722,Dwayne Hickman,1934-05-18,173.0,TRUE,White,Male,Straight
5227,nm0170713,Nat 'King' Cole,1919-03-17,184.0,TRUE,,,
5228,nm0443401,Stubby Kaye,1918-11-11,,TRUE,White,Male,Straight
5229,nm0621365,Tom Nardini,1945-04-16,,TRUE,,,
5230,nm0318198,Paul Gilbert,1918-12-27,,TRUE,White,Male,
5231,nm0000654,Terence Stamp,1938-07-22,183.0,TRUE,White,Male,Straight
5233,nm0002058,Samantha Eggar,1939-03-05,170.0,TRUE,White,Female,Straight
5235,nm0198090,Maurice Dallimore,1912-06-23,,TRUE,,,
5236,nm0001046,Julie Christie,1940-04-14,160.0,TRUE,White,Female,Straight
