,imdb_name_id,name,date_of_birth,height,is_actor,race,gender,sexuality
7660,nm0734352,Robert Rockwell,1916-10-15,188.0,True,,,
7661,nm0805314,Henry Slate,1910-06-15,,True,,,
7662,nm0807252,Alexis Smith,1921-06-08,175.0,True,White,Female,Straight
7663,nm0059165,James Barton,1890-11-01,,True,,,
7665,nm0913340,Beverly Washburn,1943-11-25,,True,,,
7666,nm0001333,Susan Hayward,1917-06-30,160.0,True,White,Female,Straight
7668,nm0601476,Kieron Moore,1924-10-05,187.0,True,White,Male,
7669,nm0433150,James Robertson Justice,1907-06-15,188.0,True,White,Male,Straight
7671,nm0005217,Jayne Meadows,1919-09-27,,True,White,Female,Straight
7672,nm0840330,John Sutton,1908-10-22,188.0,True,White,Male,
7673,nm0620301,Lane Nakano,1925-03-16,,True,,,
7674,nm0586515,George Miki,,,True,,,
7675,nm0298023,Akira Fukunaga,1917-06-11,,True,,,
7676,nm0353628,Don Haggerty,1914-07-03,,True,,,
7678,nm0133521,Gianna Maria Canale,1927-09-12,173.0,True,White,Female,Straight
7679,nm0489924,Gwendolyn Laster,,,True,,,
7680,nm0730533,Richard Rober,1910-05-14,185.0,True,White,Male,
7681,nm0635564,Maidie Norman,1912-10-16,,True,,,
7682,nm0001313,George Hamilton,1939-08-12,185.0,True,White,Male,Straight
7684,nm0151420,Lane Chandler,1899-06-04,193.0,True,White,Male,
7685,nm0000978,Lloyd Bridges,1913-01-15,182.0,True,White,Male,Straight
7687,nm0000038,Grace Kelly,1929-11-12,169.0,True,White,Female,Straight
7691,nm0001033,Lon Chaney Jr.,1906-02-10,188.0,True,,,
7693,nm0267670,Morgan Farley,1898-10-03,,True,,,
7694,nm0001812,Lee Van Cleef,1925-01-09,187.0,True,White,Male,Straight
7696,nm0929057,Robert J. Wilke,1914-05-18,188.0,True,,,
7697,nm0941125,Sheb Wooley,1921-04-10,188.0,True,White,Male,Straight
7698,nm0001805,Lana Turner,1921-02-08,160.0,True,White,Female,Straight
7700,nm0694090,Dick Powell,1904-11-14,180.0,True,White,Male,Straight
7701,nm0837959,Barry Sullivan,1912-08-29,188.0,True,White,Male,Straight
7705,nm0002108,Gloria Grahame,1923-11-28,168.0,True,White,Female,Straight
7707,nm0114847,Vanessa Brown,1928-03-24,,True,White,Female,Straight
7708,nm0829359,Elaine Stewart,1930-05-31,169.0,True,White,Female,Straight
7709,nm0002149,Betty Hutton,1921-02-26,163.0,True,White,Female,Straight
7710,nm0079328,Lyle Bettger,1915-02-13,183.0,True,White,Male,Straight
7711,nm0446120,John Kellogg,1916-06-03,179.0,True,,,
7713,nm0565887,Sean McClory,1924-03-08,188.0,True,White,Male,Straight
7715,nm0949648,James Young,1872-01-01,,True,,,
7719,nm2840484,David Bond,,,True,,,
7720,nm0176773,Russ Conway,1913-04-25,,True,,,
7721,nm0934798,Marie Windsor,1919-12-11,175.0,True,White,Female,Straight
7723,nm0924916,Jacqueline White,1922-11-23,,True,White,Female,Straight
7724,nm0502745,Queenie Leonard,1905-02-18,,True,White,Female,Straight
7725,nm0164727,David Clarke,1908-08-30,,True,,,
7726,nm0311357,Gordon Gebert,1941-10-17,,True,,,
7727,nm0453006,Richard Kiley,1922-03-31,180.0,True,White,Male,Straight
7729,nm0243053,Marlo Dwyer,1915-06-30,,True,,,
7730,nm0058001,Gene Barry,1919-06-14,183.0,True,White,Male,Straight
7731,nm0164881,Lydia Clarke,1923-04-14,,True,,,
7732,nm0601619,Michael Moore,1954-04-23,183.0,True,White,Male,Straight
7734,nm0309607,Nancy Gates,1926-02-01,,True,White,Female,Straight
7735,nm0832065,Milburn Stone,1904-07-05,173.0,True,White,Male,Straight
7737,nm0828864,Houseley Stevenson Jr.,1914-05-25,,True,,,
7738,nm0528685,George Lynn,1906-01-28,173.0,True,,,
7739,nm0911955,Anthony Warde,1908-11-04,,True,,,
7740,nm0712731,Aldo Ray,1926-09-25,183.0,True,White,Male,Straight
7741,nm0157893,William Ching,1913-10-02,,True,,,
7742,nm0809143,Loring Smith,1890-11-18,,True,,,
7743,nm0000039,Deborah Kerr,1921-09-30,168.0,True,White,Female,Straight
7747,nm0000069,Frank Sinatra,1915-12-12,172.0,True,White,Male,Straight
7749,nm0643211,Philip Ober,1902-03-23,185.0,True,White,Male,Straight
7754,nm0789485,Mickey Shaughnessy,1920-08-05,179.0,True,White,Male,
7757,nm0000308,Ernest Borgnine,1917-01-24,177.0,True,White,Male,Straight
7761,nm0112392,John Dennis,1925-05-03,183.0,True,White,Male,
7762,nm0752878,Tim Ryan,1899-07-05,,True,White,Male,Straight
7765,nm0000734,Eddie Albert,1906-04-22,180.0,True,White,Male,Straight
7768,nm0694403,Hartley Power,1893-03-14,,True,,,
7769,nm0712615,Margaret Rawlings,1906-06-05,,True,,,
7770,nm0138479,Tullio Carminati,1894-09-21,180.0,True,,,
7771,nm0137567,Paolo Carlini,1922-01-06,,True,,,
7772,nm0095979,Paola Borboni,1900-01-01,,True,,,
7773,nm0729866,Alfredo Rizzo,"1902 in Nice, Alpes-Maritimes, France",,True,,,
7774,nm0001121,Brandon De Wilde,1942-04-09,174.0,True,White,Male,
7776,nm0424565,Ben Johnson,1918-06-13,188.0,True,Black,Male,
7782,nm0118000,Edgar Buchanan,1903-03-20,180.0,True,White,Male,Straight
